risk_id,risk_title,domain,trigger,impact,likelihood,severity,detection,mitigation,owner,status
P3E-001,historical_reference misclassification,transactions,raw type normalized incorrectly,sale/return aggregates drift,Medium,High,raw-vs-normalized type parity report,store raw type + normalized type and validate sale-like metrics,Data Migration,Open
P3E-002,buy-price source loss,transaction-items/cogs,item.buyPrice or provenance fields dropped,COGS and gross profit parity failure,High,High,missing-cost-basis and source-field null-rate checks,preserve buyPrice + provenance fields + unresolved flags,Data Migration,Open
P3E-003,purchaseHistory loss,products,product purchaseHistory omitted,trailing cost basis + audit lineage loss,Medium,High,purchaseHistory row count parity,store purchaseHistory as extension field even if runtime model narrower,Data Migration,Open
P3E-004,deleted/correction artifact loss,finance-artifacts,deleted snapshots or correction rows not migrated,reconciliation and forensic gaps,Medium,High,artifact count/link integrity checks,migrate deleted snapshots + compensation + update correction collections,Data Migration,Open
P3E-005,customer due drift,customers/finance,money normalization or settlement mapping mismatch,ledger mismatch and customer trust issues,Medium,Critical,due/store-credit exact parity checks,preserve balances as-is and run strict parity before go-live,Finance+Migration,Open
P3E-006,product variant/color stock drift,products/analytics,variant/color normalization mismatch,stock buckets and analytics segmentation drift,Medium,High,variant-color bucket parity checks,shared canonicalization and raw-preserve metadata,Inventory+Migration,Open
P3E-007,transaction item shape mismatch,transactions,legacy rows missing expected fields,import failures or silent truncation,High,High,schema validation + unresolved counts,strict mode blockers + permissive warnings with mandatory remediation,Data Migration,Open
P3E-008,timestamp window mismatch,all domains,timestamp parse/zone normalization inconsistent,date-range parity false negatives,Medium,Medium,windowed parity rerun with raw timestamp sampling,normalize to ISO UTC and preserve raw timestamp metadata,Data Migration,Open
P3E-009,audit logs not copied,audit/compliance,auditEvents excluded from export,compliance and traceability gap,Low,Medium,audit count presence check,include auditEvents in export/import with lower priority but mandatory log,Platform,Open
P3E-010,partial root doc arrays missed,root-store-doc,exporter only reads subcollections,expenses/cash/procurement data loss,Medium,Critical,root-array presence/size checks against exported snapshot,explicit root array inventory contract and blocker on missing expected arrays,Data Migration,Open
